abbreviatedAddress,city,zipcode,latitude,longitude,bathrooms,bedrooms,lotSize,daysOnZillow,Date_sold,price,zestimate,rentZestimate,propertyTaxRate,taxAssessedValue,taxAssessedYear
6002 NE 33rd Ave,Portland,97211,45.56662369,-122.6304398,2,3,4791,11,7/15/2021,500000,584000,2923,1.12,492590,2020
5614 NE 18th Ave,Portland,97211,45.56354141,-122.6467056,1,3,5000,11,7/15/2021,585000,587200,2465,1.12,373230,2020
5517 N Minnesota Ave,Portland,97217,45.56295776,-122.6794891,2,3,4356,10,7/15/2021,505000,507100,2735,1.12,479620,2020
511 NE Ashley St,Portland,97211,45.56755066,-122.6599884,3,4,3049,11,7/15/2021,640000,640700,2650,1.12,549050,2020
2804 SE 17th Ave,Portland,97202,45.50263977,-122.6484375,1,2,2178,10,7/15/2021,500000,501600,1856,1.12,439380,2020
5506 SE Ramona St,Portland,97206,45.48070145,-122.6064987,2,3,4791,11,7/15/2021,596885,597500,1995,1.12,391680,2020
2217 SE Clinton St,Portland,97202,45.50354004,-122.6431885,2,3,2613,11,7/15/2021,587350,588000,2647,1.12,463180,2020
7826 SW Ruby Ter,Portland,97219,45.46597672,-122.6796875,3,4,9583,11,7/15/2021,589900,590500,3449,1.12,580670,2020
9665 SW 46th Ave,Portland,97219,45.45533752,-122.7246094,2,3,5662,10,7/15/2021,585000,585900,2759,1.12,424150,2020
6004 N Burrage Ave,Portland,97217,45.56652069,-122.694252,2,4,4791,10,7/15/2021,620000,622900,2995,1.12,485820,2020
4226 NE Rodney Ave,Portland,97211,45.55429459,-122.6643677,2,2,4791,10,7/15/2021,601000,601900,1944,1.12,479210,2020
12460 NW Marshall St,Portland,97229,45.5307579,-122.8061066,3,4,10890,10,7/15/2021,555000,557300,2362,1.13,503900,2019
5838 N Boston Ave,Portland,97217,45.56565094,-122.6910629,2,4,4791,10,7/15/2021,649000,649900,2600,1.12,472170,2020
5953 NE 18th Ave,Portland,97211,45.56604385,-122.6472092,2,3,4791,10,7/15/2021,650000,652100,2580,1.12,555270,2020
1380 NW 130th Ave,Portland,97229,45.52957153,-122.8105545,2,3,8276,11,7/15/2021,620000,622800,2200,1.13,452650,2019
1339 SW Kari Ln,Portland,97219,45.44806671,-122.6930008,3,4,11325,10,7/15/2021,603000,603400,3065,1.12,509030,2020
5914 N Borthwick Ave,Portland,97217,45.56582642,-122.6735992,2,4,4791,10,7/15/2021,630000,630900,2880,1.12,450400,2020
10403 SW 64th Dr,Portland,97219,45.4505806,-122.7434464,2,4,12196,11,7/15/2021,538000,538600,2295,1.12,439680,2020
3826 NE Roselawn St #A,Portland,97211,45.56070328,-122.6238022,3,5,4791,10,7/15/2021,640000,642100,3440,1.12,536850,2020
6421 SW Evelyn St,Portland,97219,45.45434189,-122.742897,2,3,9583,11,7/15/2021,575000,575600,2394,1.12,381040,2020
13478 SW Macbeth Dr,King City,97224,45.3985405,-122.8153458,3,4,3920,3,7/15/2021,575000,568900,2597,1.13,410780,2019
12023 SE Wood Ave,Portland,97222,45.43647385,-122.6090775,3,3,6969,10,7/15/2021,440000,442000,3300,1.08,419189,2020
9465 SE 55th Ave,Portland,97222,45.45465088,-122.6075668,1,3,5662,10,7/15/2021,400000,401800,2562,1.08,263266,2020
2319 SE Birk St,Portland,97222,45.43528366,-122.6390305,1,3,6730,11,7/15/2021,100000,491800,3399,1.08,406241,2020
12865 SW 107th Ct,Tigard,97223,45.42692947,-122.7878418,2,3,6969,3,7/15/2021,443900,462900,1828,1.13,364880,2019
15271 SW Turnagain Dr,Tigard,97224,45.40945435,-122.8040695,3,4,5227,3,7/15/2021,595000,652700,2950,1.13,508100,2019
9760 SW McDonald St,Tigard,97224,45.41848755,-122.777153,2,3,11761,3,7/15/2021,446000,439300,2208,1.13,357680,2019
8685 SW Inez St,Tigard,97224,45.41542435,-122.7664413,3,3,7405,3,7/15/2021,580000,598400,2385,1.13,395790,2019
12049 SW Wilton Ave,Tigard,97223,45.43286896,-122.819191,3,3,5662,4,7/15/2021,540000,576500,2562,1.13,411320,2019
1226 N Watts St,Portland,97217,45.58116913,-122.6791077,1,2,4791,13,7/15/2021,302000,303400,1871,1.12,281930,2020
7120 SE 71st Ave,Portland,97206,45.47149277,-122.5900574,1,3,5662,12,7/15/2021,369000,370200,2026,1.12,316130,2020
5923 SE Henderson St,Portland,97206,45.46946716,-122.6024551,1,2,3920,12,7/15/2021,365000,368000,1892,1.12,251500,2020
3822 SE 80th Ave,Portland,97206,45.4944458,-122.5806885,2,3,1742,13,7/15/2021,372000,373700,2078,1.12,265570,2020
1715 N Willamette Blvd,Portland,97217,45.5622139,-122.6852264,1,1,3920,13,7/15/2021,375000,376400,1780,1.12,391650,2020
6403 N Mississippi Ave,Portland,97217,45.56928635,-122.6761932,1,3,5250,13,7/15/2021,366000,494100,2400,1.12,424720,2020
6735 N Curtis Ave,Portland,97217,45.57167435,-122.6985321,1,3,5662,10,7/15/2021,609000,609400,2364,1.12,429530,2020
4129 NE 40th Ave,Portland,97211,45.55282593,-122.6227188,2,3,5227,8,7/15/2021,742000,742800,2980,1.12,604810,2020
1869 NW 129th Pl,Portland,97229,45.53357315,-122.8099365,3,4,10890,8,7/15/2021,971000,972400,4070,1.13,782380,2019
7855 SE 16th Ave,Portland,97202,45.46773529,-122.6493301,3,4,5227,8,7/15/2021,1200000,1201300,4156,1.12,840850,2020
7535 SE 20th Ave,Portland,97202,45.4704895,-122.6445313,2,3,2613,8,7/15/2021,715000,716300,2633,1.12,543870,2020
9576 NW Marvin Ln,Portland,97229,45.53176117,-122.7756805,3,4,6969,8,7/15/2021,845000,846200,3716,1.13,643220,2019
6127 NE 27th Ave,Portland,97211,45.56740952,-122.6384506,3,3,3049,8,7/15/2021,749500,750900,3068,1.12,629630,2020
15226 NW Eugene Ln,Portland,97229,45.54879379,-122.8337631,3,4,8276,8,7/15/2021,930000,931300,4043,1.13,721740,2019
