abbreviatedAddress,city,zipcode,latitude,longitude,bathrooms,bedrooms,lotSize,daysOnZillow,Date_sold,price,zestimate,rentZestimate,propertyTaxRate,taxAssessedValue,taxAssessedYear
19725 Cherrywood Way,Oregon City,97045,45.3199501,-122.6079865,3,4,4791,10,2021-07-15,550000,552500.0,2856.0,1.08,463856.0,2020
6002 NE 33rd Ave,Portland,97211,45.56662369,-122.6304398,2,3,4791,11,2021-07-15,500000,584000.0,2923.0,1.12,492590.0,2020
3172 SE 28th St,Gresham,97080,45.47724915,-122.3998871,3,3,5227,6,2021-07-15,485000,491300.0,1527.0,1.12,339110.0,2020
3285 SW Wallula Ave,Gresham,97080,45.47377396,-122.4465027,3,3,15681,6,2021-07-15,500000,505200.0,1997.0,1.12,429240.0,2020
5614 NE 18th Ave,Portland,97211,45.56354141,-122.64670559999999,1,3,5000,11,2021-07-15,585000,587200.0,2465.0,1.12,373230.0,2020
2833 SE Condor Ave,Gresham,97080,45.47676468,-122.38416289999999,3,3,5227,7,2021-07-15,440000,451500.0,2281.0,1.12,348400.0,2020
5517 N Minnesota Ave,Portland,97217,45.56295776,-122.67948909999998,2,3,4356,10,2021-07-15,505000,507100.0,2735.0,1.12,479620.0,2020
511 NE Ashley St,Portland,97211,45.56755066,-122.6599884,3,4,3049,11,2021-07-15,640000,640700.0,2650.0,1.12,549050.0,2020
2804 SE 17th Ave,Portland,97202,45.50263977,-122.6484375,1,2,2178,10,2021-07-15,500000,501600.0,1856.0,1.12,439380.0,2020
4261 SW Rodlun Rd,Gresham,97080,45.46572113,-122.4544373,3,5,5227,6,2021-07-15,599000,599900.0,3394.0,1.12,510840.0,2020
5506 SE Ramona St,Portland,97206,45.48070145,-122.6064987,2,3,4791,11,2021-07-15,596885,597500.0,1995.0,1.12,391680.0,2020
2217 SE Clinton St,Portland,97202,45.50354004,-122.64318850000001,2,3,2613,11,2021-07-15,587350,588000.0,2647.0,1.12,463180.0,2020
7826 SW Ruby Ter,Portland,97219,45.46597672,-122.6796875,3,4,9583,11,2021-07-15,589900,590500.0,3449.0,1.12,580670.0,2020
