DATE,MORTGAGE30US,STATE,,,,,,,
1/4/2018,3.95,MA,,,Data Source,,,,
1/11/2018,3.99,MA,,,https://fred.stlouisfed.org/series/MORTGAGE30US,,,,
1/18/2018,4.04,MA,,,,,,,
1/25/2018,4.15,MA,,,,,,,
2/1/2018,4.22,MA,,,,,,,
2/8/2018,4.32,MA,,,,,,,
2/15/2018,4.38,MA,,,,,,,
2/22/2018,4.4,MA,,,,,,,
3/1/2018,4.43,MA,,,,,,,
3/8/2018,4.46,MA,,,,,,,
3/15/2018,4.44,MA,,,,,,,
3/22/2018,4.45,MA,,,,,,,
3/29/2018,4.44,MA,,,,,,,
4/5/2018,4.4,MA,,,,,,,
4/12/2018,4.42,MA,,,,,,,
4/19/2018,4.47,MA,,,,,,,
4/26/2018,4.58,MA,,,,,,,
5/3/2018,4.55,MA,,,,,,,
5/10/2018,4.55,MA,,,,,,,
5/17/2018,4.61,MA,,,,,,,
5/24/2018,4.66,MA,,,,,,,
5/31/2018,4.56,MA,,,,,,,
6/7/2018,4.54,MA,,,,,,,
6/14/2018,4.62,MA,,,,,,,
6/21/2018,4.57,MA,,,,,,,
6/28/2018,4.55,MA,,,,,,,
7/5/2018,4.52,MA,,,,,,,
7/12/2018,4.53,MA,,,,,,,
7/19/2018,4.52,MA,,,,,,,
7/26/2018,4.54,MA,,,,,,,
8/2/2018,4.6,MA,,,,,,,
8/9/2018,4.59,MA,,,,,,,
8/16/2018,4.53,MA,,,,,,,
8/23/2018,4.51,MA,,,,,,,
8/30/2018,4.52,MA,,,,,,,
9/6/2018,4.54,MA,,,,,,,
9/13/2018,4.6,MA,,,,,,,
9/20/2018,4.65,MA,,,,,,,
9/27/2018,4.72,MA,,,,,,,
10/4/2018,4.71,MA,,,,,,,
10/11/2018,4.9,MA,,,,,,,
10/18/2018,4.85,MA,,,,,,,
10/25/2018,4.86,MA,,,,,,,
11/1/2018,4.83,MA,,,,,,,
11/8/2018,4.94,MA,,,,,,,
11/15/2018,4.94,MA,,,,,,,
11/21/2018,4.81,MA,,,,,,,
11/29/2018,4.81,MA,,,,,,,
12/6/2018,4.75,MA,,,,,,,
12/13/2018,4.63,MA,,,,,,,
12/20/2018,4.62,MA,,,,,,,
12/27/2018,4.55,MA,,,,,,,
1/3/2019,4.51,MA,,,,,,,
1/10/2019,4.45,MA,,,,,,,
1/17/2019,4.45,MA,,,,,,,
1/24/2019,4.45,MA,,,,,,,
1/31/2019,4.46,MA,,,,,,,
2/7/2019,4.41,MA,,,,,,,
2/14/2019,4.37,MA,,,,,,,
2/21/2019,4.35,MA,,,,,,,
2/28/2019,4.35,MA,,,,,,,
3/7/2019,4.41,MA,,,,,,,
3/14/2019,4.31,MA,,,,,,,
3/21/2019,4.28,MA,,,,,,,
3/28/2019,4.06,MA,,,,,,,
4/4/2019,4.08,MA,,,,,,,
4/11/2019,4.12,MA,,,,,,,
4/18/2019,4.17,MA,,,,,,,
4/25/2019,4.2,MA,,,,,,,
5/2/2019,4.14,MA,,,,,,,
5/9/2019,4.1,MA,,,,,,,
5/16/2019,4.07,MA,,,,,,,
5/23/2019,4.06,MA,,,,,,,
5/30/2019,3.99,MA,,,,,,,
6/6/2019,3.82,MA,,,,,,,
6/13/2019,3.82,MA,,,,,,,
6/20/2019,3.84,MA,,,,,,,
6/27/2019,3.73,MA,,,,,,,
7/3/2019,3.75,MA,,,,,,,
7/11/2019,3.75,MA,,,,,,,
7/18/2019,3.81,MA,,,,,,,
7/25/2019,3.75,MA,,,,,,,
8/1/2019,3.75,MA,,,,,,,
8/8/2019,3.6,MA,,,,,,,
8/15/2019,3.6,MA,,,,,,,
8/22/2019,3.55,MA,,,,,,,
8/29/2019,3.58,MA,,,,,,,
9/5/2019,3.49,MA,,,,,,,
9/12/2019,3.56,MA,,,,,,,
9/19/2019,3.73,MA,,,,,,,
9/26/2019,3.64,MA,,,,,,,
10/3/2019,3.65,MA,,,,,,,
10/10/2019,3.57,MA,,,,,,,
10/17/2019,3.69,MA,,,,,,,
10/24/2019,3.75,MA,,,,,,,
10/31/2019,3.78,MA,,,,,,,
11/7/2019,3.69,MA,,,,,,,
11/14/2019,3.75,MA,,,,,,,
11/21/2019,3.66,MA,,,,,,,
11/27/2019,3.68,MA,,,,,,,
12/5/2019,3.68,MA,,,,,,,
12/12/2019,3.73,MA,,,,,,,
12/19/2019,3.73,MA,,,,,,,
12/26/2019,3.74,MA,,,,,,,
1/2/2020,3.72,MA,,,,,,,
1/9/2020,3.64,MA,,,,,,,
1/16/2020,3.65,MA,,,,,,,
1/23/2020,3.6,MA,,,,,,,
1/30/2020,3.51,MA,,,,,,,
2/6/2020,3.45,MA,,,,,,,
2/13/2020,3.47,MA,,,,,,,
2/20/2020,3.49,MA,,,,,,,
2/27/2020,3.45,MA,,,,,,,
3/5/2020,3.29,MA,,,,,,,
3/12/2020,3.36,MA,,,,,,,
3/19/2020,3.65,MA,,,,,,,
3/26/2020,3.5,MA,,,,,,,
4/2/2020,3.33,MA,,,,,,,
4/9/2020,3.33,MA,,,,,,,
4/16/2020,3.31,MA,,,,,,,
4/23/2020,3.33,MA,,,,,,,
4/30/2020,3.23,MA,,,,,,,
