abbreviatedAddress,city,zipcode,latitude,longitude,bathrooms,bedrooms,lotSize,daysOnZillow,Date_sold,price,zestimate,rentZestimate,propertyTaxRate,taxAssessedValue,taxAssessedYear
19725 Cherrywood Way,Oregon City,97045,45.3199501,-122.6079865,3,4,4791,10,7/15/2021,550000,552500,2856,1.08,463856,2020
6002 NE 33rd Ave,Portland,97211,45.56662369,-122.6304398,2,3,4791,11,7/15/2021,500000,584000,2923,1.12,492590,2020
3172 SE 28th St,Gresham,97080,45.47724915,-122.3998871,3,3,5227,6,7/15/2021,485000,491300,1527,1.12,339110,2020
3285 SW Wallula Ave,Gresham,97080,45.47377396,-122.4465027,3,3,15681,6,7/15/2021,500000,505200,1997,1.12,429240,2020
5614 NE 18th Ave,Portland,97211,45.56354141,-122.6467056,1,3,5000,11,7/15/2021,585000,587200,2465,1.12,373230,2020
2833 SE Condor Ave,Gresham,97080,45.47676468,-122.3841629,3,3,5227,7,7/15/2021,440000,451500,2281,1.12,348400,2020
5517 N Minnesota Ave,Portland,97217,45.56295776,-122.6794891,2,3,4356,10,7/15/2021,505000,507100,2735,1.12,479620,2020
511 NE Ashley St,Portland,97211,45.56755066,-122.6599884,3,4,3049,11,7/15/2021,640000,640700,2650,1.12,549050,2020
2804 SE 17th Ave,Portland,97202,45.50263977,-122.6484375,1,2,2178,10,7/15/2021,500000,501600,1856,1.12,439380,2020
4261 SW Rodlun Rd,Gresham,97080,45.46572113,-122.4544373,3,5,5227,6,7/15/2021,599000,599900,3394,1.12,510840,2020
5506 SE Ramona St,Portland,97206,45.48070145,-122.6064987,2,3,4791,11,7/15/2021,596885,597500,1995,1.12,391680,2020
2217 SE Clinton St,Portland,97202,45.50354004,-122.6431885,2,3,2613,11,7/15/2021,587350,588000,2647,1.12,463180,2020
7826 SW Ruby Ter,Portland,97219,45.46597672,-122.6796875,3,4,9583,11,7/15/2021,589900,590500,3449,1.12,580670,2020
19037 Dallas St,Oregon City,97045,45.33052063,-122.6053696,3,3,7405,11,7/15/2021,640000,643300,3238,1.08,514648,2020
12442 Shenandoah Dr,Oregon City,97045,45.33037186,-122.6097183,3,4,5227,11,7/15/2021,600000,603100,2550,1.08,504546,2020
18843 Hein St,Oregon City,97045,45.33420563,-122.6162262,3,4,8712,11,7/15/2021,575000,578000,2773,1.08,421636,2020
336 SW Wonderview Dr,Gresham,97080,45.49440384,-122.4526062,2,3,7840,6,7/15/2021,430000,423500,2000,1.12,340140,2020
602 SE 14th Ct,Gresham,97080,45.48719788,-122.4252167,3,4,10454,6,7/15/2021,539900,563300,1950,1.12,459070,2020
4102 Chad Dr,Lake Oswego,97034,45.38868332,-122.7179184,3,4,5662,11,7/15/2021,885000,1053100,4102,1.08,902350,2020
9665 SW 46th Ave,Portland,97219,45.45533752,-122.7246094,2,3,5662,10,7/15/2021,585000,585900,2759,1.12,424150,2020
6004 N Burrage Ave,Portland,97217,45.56652069,-122.694252,2,4,4791,10,7/15/2021,620000,622900,2995,1.12,485820,2020
4226 NE Rodney Ave,Portland,97211,45.55429459,-122.6643677,2,2,4791,10,7/15/2021,601000,601900,1944,1.12,479210,2020
18167 S Norman Rd,Oregon City,97045,45.34281921,-122.4949188,1,2,27007,11,7/15/2021,428600,430800,1680,1.08,235868,2020
12460 NW Marshall St,Portland,97229,45.5307579,-122.8061066,3,4,10890,10,7/15/2021,555000,557300,2362,1.13,503900,2019
5838 N Boston Ave,Portland,97217,45.56565094,-122.6910629,2,4,4791,10,7/15/2021,649000,649900,2600,1.12,472170,2020
5953 NE 18th Ave,Portland,97211,45.56604385,-122.6472092,2,3,4791,10,7/15/2021,650000,652100,2580,1.12,555270,2020
1380 NW 130th Ave,Portland,97229,45.52957153,-122.8105545,2,3,8276,11,7/15/2021,620000,622800,2200,1.13,452650,2019
4451 SE 22nd Dr,Gresham,97080,45.48084259,-122.3879166,3,4,16117,6,7/15/2021,495000,515200,2266,1.12,397700,2020
1339 SW Kari Ln,Portland,97219,45.44806671,-122.6930008,3,4,11325,10,7/15/2021,603000,603400,3065,1.12,509030,2020
5914 N Borthwick Ave,Portland,97217,45.56582642,-122.6735992,2,4,4791,10,7/15/2021,630000,630900,2880,1.12,450400,2020
10403 SW 64th Dr,Portland,97219,45.4505806,-122.7434464,2,4,12196,11,7/15/2021,538000,538600,2295,1.12,439680,2020
3826 NE Roselawn St #A,Portland,97211,45.56070328,-122.6238022,3,5,4791,10,7/15/2021,640000,642100,3440,1.12,536850,2020
6421 SW Evelyn St,Portland,97219,45.45434189,-122.742897,2,3,9583,11,7/15/2021,575000,575600,2394,1.12,381040,2020
2023 SE Williams Dr,Gresham,97080,45.48205948,-122.3871002,3,4,5662,6,7/15/2021,455000,455300,2374,1.12,336020,2020
19001 Barton Rd,Lake Oswego,97034,45.38551712,-122.7095795,3,4,99752,11,7/15/2021,830000,834300,2228,1.08,33603,2020
19001 SW Barton Rd,Lake Oswego,97034,45.38551712,-122.7095795,2,4,79694,11,7/15/2021,830000,771500,2990,1.08,559171,2020
715 3rd Ave,Oregon City,97045,45.3459549,-122.6245193,1,2,4791,11,7/15/2021,350000,351800,1516,1.08,203392,2020
13478 SW Macbeth Dr,King City,97224,45.3985405,-122.8153458,3,4,3920,3,7/15/2021,575000,568900,2597,1.13,410780,2019
5350 Windsor Ter,West Linn,97068,45.36130905,-122.6207962,3,3,11325,10,7/15/2021,768000,771500,2614,1.08,506254,2020
8847 SW Ravine Dr,Beaverton,97007,45.45593262,-122.8549423,3,4,12196,3,7/15/2021,950000,844600,3382,1.13,629200,2019
16152 SW Medallion Ln,Beaverton,97007,45.48160934,-122.8430634,3,3,3920,3,7/15/2021,600000,587900,2564,1.13,445590,2019
9061 SW 155th Ave,Beaverton,97007,45.45416641,-122.8365784,3,3,2178,3,7/15/2021,387500,386100,2199,1.13,324570,2019
19928 SW Inglis Dr,Beaverton,97007,45.45301819,-122.8821106,4,3,43995,3,7/15/2021,1650000,1421900,5034,1.13,981230,2019
14680 SW Topaz Ln,Beaverton,97007,45.46150208,-122.8276443,3,3,8276,4,7/15/2021,615000,669400,2664,1.13,503930,2019
2188 Club House Dr,West Linn,97068,45.37493134,-122.6487885,3,4,11761,10,7/15/2021,725000,726600,2562,1.08,507604,2020
2721 Lafave St,West Linn,97068,45.37870789,-122.6311111,2,3,10018,10,7/15/2021,575000,577600,2495,1.08,401394,2020
22085 S Wisteria Rd,West Linn,97068,45.36617661,-122.6648331,3,4,135036,10,7/15/2021,1175000,1177600,2455,1.08,720277,2020
3022 Kensington Ct,West Linn,97068,45.35598755,-122.6474075,2,3,6995,11,7/15/2021,760800,720900,2851,1.08,681261,2020
2285 Brandon Pl,West Linn,97068,45.35155106,-122.6730042,4,3,21780,11,7/15/2021,1100000,1103000,4944,1.08,918095,2020
12023 SE Wood Ave,Portland,97222,45.43647385,-122.6090775,3,3,6969,10,7/15/2021,440000,442000,3300,1.08,419189,2020
9465 SE 55th Ave,Portland,97222,45.45465088,-122.6075668,1,3,5662,10,7/15/2021,400000,401800,2562,1.08,263266,2020
2319 SE Birk St,Portland,97222,45.43528366,-122.6390305,1,3,6730,11,7/15/2021,100000,491800,3399,1.08,406241,2020
2933 Coeur D Alene Dr,West Linn,97068,45.35367966,-122.6409454,4,5,10018,10,7/15/2021,1495000,1498100,6175,1.08,1381442,2020
20595 Noble Ln,West Linn,97068,45.36558151,-122.6463623,3,4,3484,10,7/15/2021,488000,489100,2713,1.08,389240,2020
13331 Abigail Ct,Oregon City,97045,45.32416534,-122.5930862,2,3,8276,11,7/15/2021,517398,520100,2533,1.08,380676,2020
12865 SW 107th Ct,Tigard,97223,45.42692947,-122.7878418,2,3,6969,3,7/15/2021,443900,462900,1828,1.13,364880,2019
1125 Maple St,Lake Oswego,97034,45.40981674,-122.6720352,4,4,30491,11,7/15/2021,3650000,3659900,15576,1.08,1859615,2020
18711 Westview Dr,Lake Oswego,97034,45.39001083,-122.7027283,4,4,23522,11,7/15/2021,1200000,1206200,4950,1.08,1092801,2020
853 D Ave,Lake Oswego,97034,45.42436218,-122.672905,4,4,6098,10,7/15/2021,1812500,1820800,7810,1.08,1479224,2020
15271 SW Turnagain Dr,Tigard,97224,45.40945435,-122.8040695,3,4,5227,3,7/15/2021,595000,652700,2950,1.13,508100,2019
