abbreviatedaddress,city,zipcode,latitude,longitude,bathrooms,bedrooms,lotsize,date_sold,price,zestimate,median_income
4008 SE Kelly St,Portland,97202,45.49956894,-122.6212006,1,2,4356,5/20/2021,535000,550300,39879
6936 SE 28th Ave,Portland,97202,45.473526,-122.6341248,2,4,4791,8/16/2020,775000,874600,39879
1515 SE Claybourne St,Portland,97202,45.47534943,-122.6506195,1,2,5227,5/4/2021,521000,539700,39879
7941 SE 36th Ave,Portland,97202,45.46573639,-122.6265259,3,4,6098,12/13/2020,830000,903000,39879
6908 SE Cesar E Chavez Blvd,Portland,97202,45.47317886,-122.6222839,2,3,6969,8/11/2020,525000,598800,39879
3605 SE 16th Ave,Portland,97202,45.49659729,-122.6495514,3,3,4791,5/7/2021,550000,569000,39879
5733 SE 22nd Ave,Portland,97202,45.48112106,-122.6437607,2,3,4791,5/7/2021,739000,759400,39879
7106 SE 18th Ave,Portland,97202,45.4731636,-122.6463547,1,1,4791,11/15/2020,500000,554500,39879
931 SE Bush St,Portland,97202,45.49512863,-122.6559753,2,3,5227,11/18/2020,582500,645400,39879
5825 SE 21st Ave,Portland,97202,45.48043442,-122.644722,2,4,4791,6/28/2021,700000,704000,39879
3909 SE Malden St,Portland,97202,45.46796036,-122.6223526,2,4,4791,9/4/2020,565000,640100,39879
2014 SE Lambert St,Portland,97202,45.46810532,-122.6437225,2,3,4791,5/28/2021,821000,838000,39879
8064 SE 19th Ave,Portland,97202,45.46459198,-122.6448364,4,4,3049,7/5/2020,737500,832700,39879
4622 SE 32nd Ave,Portland,97202,45.48920822,-122.6320953,3,3,4791,8/21/2020,525000,597200,39879
8714 SE 19th Ave,Portland,97202,45.45975113,-122.6447449,1,2,4791,4/29/2021,500000,518900,39879
4014 SE Long St,Portland,97202,45.48860168,-122.621376,3,4,4791,10/25/2020,875000,964500,39879
4354 SE 28th Pl,Portland,97202,45.49123764,-122.6363602,2,3,5000,11/18/2020,180000,570000,39879
3814 SE Martins St,Portland,97202,45.47823715,-122.6232224,2,5,20037,4/18/2021,1195000,1237200,39879
1834 SE Exeter Dr,Portland,97202,45.45686722,-122.6514206,2,4,21250,7/15/2021,1625000,1628500,39879
7235 SE 22nd Ave,Portland,97202,45.47240067,-122.6429062,3,4,4791,1/5/2021,673000,725800,39879
7961 SE 19th Ave,Portland,97202,45.46622849,-122.6453629,1,3,3920,3/15/2021,535000,566600,39879
1839 SE Exeter Dr,Portland,97202,45.45697784,-122.6523819,2,3,19166,12/10/2020,998000,1136900,39879
6617 SE Reed College Pl,Portland,97202,45.4745903,-122.6296768,3,4,5662,3/17/2021,975000,1023200,39879
7749 SE 17th Ave,Portland,97202,45.46858978,-122.6473923,3,4,2613,1/19/2021,728000,781300,39879
3617 SE 11th Ave,Portland,97202,45.49662018,-122.6551208,3,3,4791,5/18/2021,549900,565800,39879
2103 SE Tenino St,Portland,97202,45.46382141,-122.642868,2,3,3920,8/11/2020,511250,583100,39879
6604 SE 38th Ave,Portland,97202,45.47520065,-122.6233749,3,4,7405,10/22/2020,925000,1020700,39879
4411 SE 35th Pl,Portland,97202,45.49098587,-122.6280212,2,3,4791,8/11/2020,550000,627300,39879
3228 SE 23rd Ave,Portland,97202,45.49940491,-122.6423416,1,3,3049,4/12/2021,630000,659200,39879
2928 SE Woodstock Blvd,Portland,97202,45.47880936,-122.6327667,7,5,24829,9/27/2020,2050000,2285600,39879
4839 SE 36th Pl,Portland,97202,45.48755264,-122.6259918,4,5,4791,9/27/2020,1149000,1279100,39879
2326 SE Woodward St,Portland,97202,45.5017395,-122.6419754,2,4,4356,9/27/2020,651000,724700,39879
